Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$488,29",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$468,29",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$468,29",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-24 19:45:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$428,29",,2025-07-24 19:45:08
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),24/07/2025,,R$,,2025-07-24 19:45:41
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),24/07/2025,,R$,,2025-07-24 19:45:41
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),24/07/2025,,R$,,2025-07-24 19:45:41
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONVENCIONAL,"R$119,19",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$218,99",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$218,99",,2025-07-24 19:45:47
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA - VAI DIRETO,R$,,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD - VAI DIRETO,"R$151,94",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,2025-07-24 19:45:48
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,R$,,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,EXEC. DD,"R$169,99",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
