Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Distance,Duration,Timestamp_Scraped
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$283,61",,487 km,09:36,2025-07-24 19:49:10
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CONVENCIONAL,"R$248,79",,487 km,09:36,2025-07-24 19:49:10
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$498,23",,487 km,09:36,2025-07-24 19:49:11
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-24 19:49:11
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$488,29",,487 km,09:36,2025-07-24 19:49:11
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-24 19:49:12
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$468,29",,487 km,09:36,2025-07-24 19:49:12
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-24 19:49:12
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-24 19:49:12
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$468,29",,487 km,09:36,2025-07-24 19:49:12
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-24 19:49:13
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$428,29",,487 km,09:36,2025-07-24 19:49:13
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),24/07/2025,,R$,,314 km,05:06,2025-07-24 19:49:13
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),24/07/2025,,R$,,314 km,05:06,2025-07-24 19:49:13
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),24/07/2025,,R$,,314 km,05:06,2025-07-24 19:49:14
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:14
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,314 km,05:06,2025-07-24 19:49:14
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:14
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONVENCIONAL,"R$119,19",,314 km,05:06,2025-07-24 19:49:15
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:15
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:15
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,314 km,05:06,2025-07-24 19:49:15
